"filename","AB","AF","AU","BP","C1","CC","CH","CL","CR","CT","CY","DE","DI","DT","EM","EP","FN","FU","FX","GA","GE","ID","IS","J9","JI","LA","LT","MC","MI","NR","PA","PD","PG","PI","PN","PS","PT","PU","PY","RI","RID","OI","PM","RP","SC","SI","SN","SO","SU","TA","TC","TI","UT","VR","VL","WC","Z9","refID"
"./data/WOS2011/Guatemala.txt",NA,"Gaos, Alexander R.
Abreu-Grobois, F. A.
Alfaro-Shigueto, J.
Amorocho, D.
Arauz, R.
Baquero, A.
Briseno, R.
Chacon, D.
Duenas, C.
Hasbun, C.
Liles, M.
Mariona, G.
Muccio, C.
Munoz, J. P.
Nichols, W. J.
Pena, M.
Seminoff, J. A.
Vasquez, M.
Urteaga, J.
Wallace, B.
Yanez, I. L.
Zarate, P.
","Gaos, AR
Abreu-Grobois, FA
Alfaro-Shigueto, J
Amorocho, D
Arauz, R
Baquero, A
Briseno, R
Chacon, D
Duenas, C
Hasbun, C
Liles, M
Mariona, G
Muccio, C
Munoz, JP
Nichols, WJ
Pena, M
Seminoff, JA
Vasquez, M
Urteaga, J
Wallace, B
Yanez, IL
Zarate, P
","595
","[Gaos, AR; Yanez, IL] Ocean Fdn, Washington, DC USA.
[Gaos, AR] San Diego State Univ, Dept Biol, San Diego, CA 92102 USA.
[Abreu-Grobois, FA; Briseno, R] UNAM, Lab Genet & Banco Informac Tortugas Marinas, Inst Ciencias Mar & Limnol, Mazatlan, Mexico.
[Alfaro-Shigueto, J] ProDelphinus, Lima, Peru.
[Alfaro-Shigueto, J] Univ Exeter, Exeter, Devon, England.
[Amorocho, D] Ctr Invest El Manejo Ambiental & El Desarrollo, Cali, Colombia.
[Arauz, R] Programa Restaurac Tortugas Marinas, San Jose, Costa Rica.
[Baquero, A; Munoz, JP; Pena, M] Fdn Equilibrio Azul, Quito, Ecuador.
[Baquero, A] Univ San Francisco Quito, Quito, Ecuador.
[Chacon, D] WIDECAST Latin Amer, San Jose, Costa Rica.
[Duenas, C] Minist Medio Ambiente & Recursos Nat, San Salvador, El Salvador.
[Hasbun, C] USAID, Santa Elena, La Libertad, El Salvador.
[Liles, M; Mariona, G] Fdn Zool El Salvador, San Salvador, El Salvador.
[Muccio, C] Asociac Rescate & Conservac Vida Silvestre, San Lucas Sacatepequez, Guatemala.
[Nichols, WJ] Calif Acad Sci, San Francisco, CA 94118 USA.
[Seminoff, JA] Natl Ocean & Atmospher Adm, San Diego, CA USA.
[Vasquez, M] Univ El Salvador, Inst Ciencias Mar & Limnol, San Salvador, El Salvador.
[Urteaga, J] Fauna & Flora Int, Managua, Nicaragua.
[Wallace, B] Conservat Int, Global Marine Div, Arlington, TX USA.
[Yanez, IL] Grp Tortuguero Californias AC, La Paz, Mexico.
[Zarate, P] Univ Florida, Archie Carr Ctr Sea Turtle Res, Gainesville, FL USA.
[Zarate, P] Univ Florida, Dept Biol, Gainesville, FL USA.
[Zarate, P] Charles Darwin Fdn, Santa Cruz Isl, Galapagos Isl, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1017/S0030605310000773
",NA,NA,"601
","ISI Export Format
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Gaos, AR (reprint author), Ocean Fdn, Washington, DC USA
",NA,NA,"0030-6053
","ORYX
",NA,NA,"1
","Signs of hope in the eastern Pacific: international collaboration
reveals encouraging status for a severely depleted population of
hawksbill turtles Eretmochelys imbricata
","WOS:000284038500027
","1.0
","44
",NA,"2
",1
"./data/WOS2011/Guatemala.txt",NA,"Cerezo, Alexis
Perelman, Susana
Robbins, Chandler S.
","Cerezo, A
Perelman, S
Robbins, CS
","512
","[Cerezo, A; Perelman, S] Univ Buenos Aires, Fac Agron, Dept Quantitat Methods & Informat Syst, RA-1417 Buenos Aires, DF, Argentina.
[Cerezo, A] Fdn Ecodev & Conservat FUNDAECO, Guatemala City, Guatemala.
[Robbins, CS] US Geol Survey, Patuxent Wildlife Res Ctr, Biol Resources Div, Laurel, MD 20708 USA.
[Perelman, S] Consejo Nacl Invest Cient & Tecn, UBA, Inst Agr Plant Physiol & Ecol Res, IFEVA, RA-1033 Buenos Aires, DF, Argentina.
",NA,NA,NA,NA,NA,NA,NA,"10.1016/j.ecolmodel.2009.10.038
",NA,"acerezo@agro.uba.ar
","526
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"FEB 10
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Cerezo, A (reprint author), Univ Buenos Aires, Fac Agron, Dept Quantitat Methods & Informat Syst, Av San Martin 4453, RA-1417 Buenos Aires, DF, Argentina
",NA,NA,"0304-3800
","ECOLOGICAL MODELLING
",NA,NA,"2
","Landscape-level impact of tropical forest loss and fragmentation on bird
occurrence in eastern Guatemala
","WOS:000273866700016
","1.0
","221
",NA,"2
",2
"./data/WOS2011/Guatemala.txt",NA,"Bray, David Barton
Duran, Elvira
Ramos, Victor Hugo
Mas, Jean-Francois
Velazques, Alejandro
McNab, Roan Balas
Barry, Deborah
Radachowsky, Jeremy
","Bray, DB
Duran, E
Ramos, VH
Mas, JF
Velazques, A
Mcnab, RB
Barry, D
Radachowsky, J
",NA,"[Bray, DB] Florida Int Univ, Dept Environm Studies, Miami, FL 33199 USA.
[Ramos, VH; Mcnab, RB] Wildlife Conservat Soc Guatemala, Guatemala City, Guatemala.
[Mas, JF; Velazques, A] Univ Autonoma Mexico, Mexico City, DF, Mexico.
[Radachowsky, J] Univ Florida, Gainesville, FL 32611 USA.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brayd@fiu.edu
",NA,"ISI Export Format
",NA,NA,NA,NA,NA,"2
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,"2008
",NA,NA,NA,NA,"Bray, DB (reprint author), Florida Int Univ, Dept Environm Studies, Miami, FL 33199 USA, USA
",NA,NA,"1708-3087
","ECOLOGY AND SOCIETY
",NA,NA,"4
","Tropical Deforestation, Community Forests, and Protected Areas in the
Maya Forest
","WOS:000262291600038
","1.0
","13
",NA,"4
",3
"./data/WOS2011/Guatemala.txt",NA,"Bonham, Curan A.
Sacayon, Eduardo
Tzi, Ernesto
","Bonham, CA
Sacayon, E
Tzi, E
","1581
","[Bonham, CA] Univ Montana, Coll Forestry & Conservat, Missoula, MT 59812 USA.
[Sacayon, E] Univ San Carlos, Fac Biol, Guatemala City, Guatemala.
[Tzi, E] Asociac Pro Bienestar Acc APROBA SANK, Land Measurement Grp, Chisec, Alta Verapaz, Guatemala.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s10531-008-9368-6
",NA,"curanbonham@hotmail.com
","1593
","ISI Export Format
",NA,NA,NA,NA,NA,"7
",NA,NA,NA,NA,NA,NA,NA,NA,"JUN
",NA,NA,NA,NA,"J
",NA,"2008
",NA,NA,NA,NA,"Bonham, CA (reprint author), Univ Montana, Coll Forestry & Conservat, Missoula, MT 59812 USA
",NA,NA,"0960-3115
","BIODIVERSITY AND CONSERVATION
",NA,NA,"7
","Protecting imperiled ""paper parks"": potential lessons from the Sierra
Chinajai, Guatemala
","WOS:000257201000003
","1.0
","17
",NA,"8
",4
"./data/WOS2011/Guatemala.txt",NA,"Andersen, U. Strandby
Cordova, J. P. Prado
Nielsen, U. Braeuner
Kollmann, J.
","Andersen, US
Cordova, JPP
Nielsen, UB
Kollmann, J
","1831
","[Andersen, US; Cordova, JPP; Kollmann, J] Univ Copenhagen, Dept Ecol, DK-1958 Frederiksberg C, Denmark.
[Cordova, JPP] Univ San Carlos, Fac Agron, Guatemala City, Guatemala.
[Nielsen, UB] Univ Copenhagen, Ctr Forest & Landscape, D-2970 Horsholm, Denmark.
",NA,NA,NA,NA,NA,NA,NA,"10.1016/j.foreco.2007.12.009
",NA,"usa@life.ku.dk
","1840
","ISI Export Format
",NA,NA,NA,NA,NA,"5-6
",NA,NA,NA,NA,NA,NA,NA,NA,"APR 5
",NA,NA,NA,NA,"J
",NA,"2008
",NA,NA,NA,NA,"Andersen, US (reprint author), Univ Copenhagen, Dept Ecol, Rolighedsvej 21, DK-1958 Frederiksberg C, Denmark
",NA,NA,"0378-1127
","FOREST ECOLOGY AND MANAGEMENT
",NA,NA,"3
","Provenance variation in germination and seedling growth of Abies
guatemalensis Rehder
","WOS:000254597700050
","1.0
","255
",NA,"4
",5
"./data/WOS2011/Guatemala.txt",NA,"Andersen, Uffe Strandby
Prado Cordova, Jose Pablo
Sorensen, Marten
Kollmann, Johannes
","Andersen, US
Cordova, JP
Sorensen, M
Kollmann, J
","3131
","Royal Vet & Agr Univ, Dept Ecol, DK-1958 Frederiksberg C, Denmark.
Univ San Carlos, Fac Agron, Guatemala City, Guatemala.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s10531-005-5405-x
",NA,"jok@kvl.dk
","3151
","ISI Export Format
",NA,NA,NA,NA,NA,"10
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2006
",NA,NA,NA,NA,"Kollmann, J (reprint author), Royal Vet & Agr Univ, Dept Ecol, Rolighedsvej 21, DK-1958 Frederiksberg C, Denmark, Denmark
",NA,NA,"0960-3115
","BIODIVERSITY AND CONSERVATION
",NA,NA,"10
","Conservation and utilisation of Abies guatemalensis rehder (Pinaceae) -
an endangered endemic conifer in Central America
","WOS:000241791200002
","1.0
","15
",NA,"10
",6
"./data/WOS2011/Guatemala.txt",NA,"Ponce-Santizo, G
Andresen, E
Cano, E
Cuaron, AD
","Ponce-Santizo, G
Andresen, E
Cano, E
Cuaron, AD
","390
","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.
Univ Valle Guatemala, Guatemala City 01015, Guatemala.
Durrell Wildlife Conservat Trust, Morelia 58341, Michoacan, Mexico.
Univ Nacl Autonoma Mexico, Fac Med Vet & Zootecnia, Dept Etol & Fauna Silvestre, Mexico City 04510, DF, Mexico.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1744-7429.2006.00144.x
",NA,"andresen@oikos.unam.mx
","397
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"MAY
",NA,NA,NA,NA,"J
",NA,"2006
",NA,NA,NA,NA,"Andresen, E (reprint author), Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Apartado Postal 27-7, Morelia 58089, Michoacan, Mexico
",NA,NA,"0006-3606
","BIOTROPICA
",NA,NA,"9
","Primary dispersal of seeds by primates and secondary dispersal by dung
beetles in Tikal, Guatemala
","WOS:000236766500014
","1.0
","38
",NA,"9
",7
"./data/WOS2011/Guatemala.txt",NA,"Shelly, TE
McInnis, DO
Rendon, P
","Shelly, TE
McInnis, DO
Rendon, P
","199
","USDA, APHIS, Waimanalo, HI 96795 USA.
Univ Hawaii, Ctr Conservat Res & Training, Honolulu, HI 96822 USA.
USDA ARS, Honolulu, HI 96822 USA.
USDA, APHIS, Guatemala City, Guatemala.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1570-7458.2005.00328.x
",NA,"todd.e.shelly@aphis.usda.gov
","208
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2005
",NA,NA,NA,NA,"Shelly, TE (reprint author), USDA, APHIS, 41-650 Ahiki St, Waimanalo, HI 96795 USA
",NA,NA,"0013-8703
","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA
",NA,NA,"12
","The sterile insect technique and the Mediterranean fruit fly: assessing
the utility of aromatherapy in large field enclosures
","WOS:000231224700007
","1.0
","116
",NA,"14
",8
"./data/WOS2011/Guatemala.txt",NA,"Avendano-Mendoza, C
Moron-Rios, A
Cano, E
Leon-Cortes, J
","Avendano-Mendoza, C
Moron-Rios, A
Cano, E
Leon-Cortes, J
","801
","Colegio Frontera Sur, Div Conservac Biodivers, San Cristobal de las Casa 29290, Chiapas, Mexico.
Colegio Frontera Sur, Div Posgrado, San Cristobal de las Casa, Chiapas, Mexico.
Univ Valle Guatemala, Lab Entomol Sistemat, Guatemala City, Guatemala.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s10531-004-0651-x
",NA,"amoron@sclc.ecosur.mx
","822
","ISI Export Format
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"APR
",NA,NA,NA,NA,"J
",NA,"2005
",NA,NA,NA,NA,"Moron-Rios, A (reprint author), Colegio Frontera Sur, Div Conservac Biodivers, Carr Panamer & Perifer Sur S-N, San Cristobal de las Casa 29290, Chiapas, Mexico
",NA,NA,"0960-3115
","BIODIVERSITY AND CONSERVATION
",NA,NA,"13
","Dung beetle community (Coleoptera : Scarabaeidae : Scarabaeinae) in a
tropical landscape at the Lachua Region, Guatemala
","WOS:000228503800002
","1.0
","14
",NA,"18
",9
"./data/WOS2011/Guatemala.txt",NA,"Zuniga, JA
Barrera, JF
Valle, J
Williams, T
","Zuniga, JA
Barrera, JF
Valle, J
Williams, T
","515
","El Colegio Frontera Sur, Chiapas 30700, Mexico.
Univ San Carlos, Guatemala City, Guatemala.
",NA,NA,NA,NA,NA,NA,NA,"10.1603/0046-225X-31.3.515
",NA,NA,"522
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"JUN
",NA,NA,NA,NA,"J
",NA,"2002
",NA,NA,NA,NA,"Zuniga, JA (reprint author), El Colegio Frontera Sur, Apartado Postal 36, Chiapas 30700, Mexico, Mexico
",NA,NA,"0046-225X
","ENVIRONMENTAL ENTOMOLOGY
",NA,NA,"5
","Estimating populations of Idiarthron subquadratum (Orthoptera :
Tettigoniidae) using mark-recapture methods in coffee plantations in
Chiapas, Mexico
","WOS:000178326000013
","1.0
","31
",NA,"6
",10
